dx,dy
-0.00028930433,0.00016592101
0.00011169578,0.00022832312
0.00012552769,-0.00025793715
4.7004814e-05,-0.000102020946
6.38802e-05,3.0366435e-05
7.159301e-05,2.831561e-05
-7.806809e-05,-2.639316e-06
-7.420156e-05,-2.3847557e-05
7.98236e-05,4.7302497e-06
8.0625556e-05,1.398879e-05
-7.7850666e-05,-1.0682476e-06
-7.4202224e-05,-2.2276514e-05
7.982438e-05,4.736234e-06
8.062594e-05,1.3990695e-05
-7.784753e-05,-2.580374e-06
-7.420156e-05,-2.3847557e-05
7.98236e-05,4.7302497e-06
8.0625556e-05,1.398879e-05
-7.7850666e-05,-1.0682476e-06
-7.414331e-05,-2.2873739e-05
7.982355e-05,4.734122e-06
8.062498e-05,1.3989649e-05
-7.790782e-05,-2.0134814e-06
-7.420156e-05,-2.3847557e-05
7.98236e-05,4.7302497e-06
8.0625556e-05,1.398879e-05
-7.7850666e-05,-1.0682476e-06
-7.411399e-05,-2.3340757e-05
7.982454e-05,4.7338663e-06
6.0824856e-05,-1.8310287e-06
-7.7222205e-05,1.0673353e-06
-7.490353e-05,-2.3603345e-05
7.955516e-05,4.5591555e-06
0.00012875421,1.3214893e-05
-7.7480094e-05,-7.741583e-07
-7.5040785e-05,-2.3290806e-05
7.904862e-05,4.405993e-06
0.00012875421,1.3214893e-05
0.0009516571,-0.00030837746
-7.373135e-05,-2.4820805e-05
-0.0023658648,-0.00053948077
-0.0017593574,0.00020746866
-0.00036330638,0.00022123403
0.0011246125,-0.000631466
0.00011406691,-0.00011969194
0.00015554657,8.381842e-05
-0.00020573245,8.201211e-05
0.000876116,0.00021843781
-7.702892e-05,-0.00018296557
0.00015584892,-7.2190545e-05
-9.402744e-05,0.00044477195
0.0002736329,8.3064304e-05
0.00025983152,-0.00021036074
0.001002456,-0.00019062041
-1.906057e-05,-0.00020926369
-0.001382524,0.00021352422
0.00057430106,-0.0013429418
-0.0005459326,0.0018102763
1.27745825e-05,7.934137e-05
0.0017371265,-0.00022527715
-0.0004611979,-4.698477e-05
0.0002052028,-0.0012960281
-0.0004461998,0.00012017815
-0.0003044992,8.827675e-05
-0.000115160816,8.471221e-05
